local_area,investment_year,followup_year,total_businesses,total_employees,total_land_value_in_investment_year,total_land_value_in_followup_year,percent_change_in_land_value
Renfrew-Collingwood,2020,2021,3269,33752,12490324020,11605021020,-7.09
Renfrew-Collingwood,2020,2022,2930,30007,11245790020,11200796021,-0.4
Renfrew-Collingwood,2020,2023,3093,30667,11736295020,12099607022,3.1
Renfrew-Collingwood,2020,2024,3615,33809,13467731014,13196007722,-2.02
Renfrew-Collingwood,2021,2022,2915,32693,10724551020,11496142021,7.19
Renfrew-Collingwood,2021,2023,3089,33465,10836453020,12389819022,14.33
Renfrew-Collingwood,2021,2024,3605,36659,12318651014,13540643394,9.92
Riley Park,2020,2021,2037,10190,7727710000,7434951000,-3.79
Riley Park,2020,2022,1819,9207,7248302000,7608915000,4.98
Riley Park,2020,2023,2107,10857,7841002000,8574691579,9.36
Riley Park,2020,2024,2231,12137,8299394000,9050018036,9.04
Riley Park,2021,2022,2025,10235,7827530000,8666009000,10.71
Riley Park,2021,2023,2316,11714,8407498000,9619737390,14.42
Riley Park,2021,2024,2432,12813,8899246000,9963744070,11.96
Shaughnessy,2020,2021,323,2924,2455096002,2281725002,-7.06
Shaughnessy,2020,2022,323,2928,2472716002,2491967002,0.78
Shaughnessy,2020,2023,346,3083,2595513001,2864200510,10.35
Shaughnessy,2020,2024,344,3110,2639585001,2823631980,6.97
Shaughnessy,2021,2022,397,2820,2641655002,2871730002,8.71
Shaughnessy,2021,2023,416,2940,2763619001,3362824558,21.68
Shaughnessy,2021,2024,390,2904,2757807001,3234700356,17.29
South Cambie,2020,2021,399,1968,2997622000,3027393000,0.99
South Cambie,2020,2022,405,1881,3543873000,3837310000,8.28
South Cambie,2020,2023,459,2203,3719435000,3932884137,5.74
South Cambie,2020,2024,476,2393,3800667000,4218634949,11
South Cambie,2021,2022,436,2018,3734562000,4048097000,8.4
South Cambie,2021,2023,489,2329,3921069000,4204875472,7.24
South Cambie,2021,2024,525,2648,4117598000,4544676273,10.37
Strathcona,2020,2021,3358,41035,17084815905,15735544310,-7.9
Strathcona,2020,2022,3026,32641,15759838509,16239627914,3.04
Strathcona,2020,2023,3526,37043,17295266713,17350349816,0.32
Strathcona,2020,2024,3539,37143,17448787509,17145210211,-1.74
Strathcona,2021,2022,3254,35700,14307615809,15801398910,10.44
Strathcona,2021,2023,3848,41001,15518327611,16888111725,8.83
Strathcona,2021,2024,3825,41272,15786542607,16617189707,5.26
Sunset,2020,2021,1940,14399,8749537200,8160225300,-6.74
Sunset,2020,2022,1838,13816,8349902200,8883337400,6.39
Sunset,2020,2023,2038,14861,8898499200,10626418472,19.42
Sunset,2020,2024,2322,16051,9138054200,10314086630,12.87
Sunset,2021,2022,1886,18002,7897466300,8940275400,13.2
Sunset,2021,2023,2090,19079,8367257300,10711879477,28.02
Sunset,2021,2024,2366,20380,8607026300,10321958748,19.92
Victoria-Fraserview,2020,2021,1986,12871,6589500000,6446959000,-2.16
Victoria-Fraserview,2020,2022,1918,12532,6458703000,7568979000,17.19
Victoria-Fraserview,2020,2023,1935,12555,6521684000,8790400784,34.79
Victoria-Fraserview,2020,2024,1770,11013,5331244000,6813405760,27.8
Victoria-Fraserview,2021,2022,1853,12012,6212734000,7457040000,20.03
Victoria-Fraserview,2021,2023,1856,12016,6236095000,8613344936,38.12
Victoria-Fraserview,2021,2024,1785,10738,5123443000,6712082560,31.01
West End,2020,2021,3852,33907,41827829522,38587537022,-7.75
West End,2020,2022,3627,31767,39729548522,37298626022,-6.12
West End,2020,2023,4044,37121,43092160522,37779070580,-12.33
West End,2020,2024,4638,43167,44671076524,39383837192,-11.84
West End,2021,2022,3699,32667,37422509324,38233985024,2.17
West End,2021,2023,4130,37964,40711487324,38726656849,-4.88
West End,2021,2024,4695,43243,42398293026,40293146845,-4.97
West Point Grey,2020,2021,620,3283,4618502000,4206722000,-8.92
West Point Grey,2020,2022,604,3221,4490677000,4574210000,1.86
West Point Grey,2020,2023,710,3698,5019196000,5500524627,9.59
West Point Grey,2020,2024,793,4137,5606314000,5854985912,4.44
West Point Grey,2021,2022,622,3144,4268122000,4753011000,11.36
West Point Grey,2021,2023,753,3708,4740332000,5654555625,19.29
West Point Grey,2021,2024,835,4114,5195917000,5897757961,13.51
null,2020,2021,561,7124,11415682100,10678331300,-6.46
null,2020,2022,348,4254,7278422700,7969066100,9.49
null,2020,2023,357,4400,7824295300,8543651362,9.19
null,2020,2024,507,6690,9942656100,10764675770,8.27
null,2021,2022,777,6986,9688240607,10988620307,13.42
null,2021,2023,820,7498,10455907608,12126382294,15.98
null,2021,2024,1146,11040,13368661011,15458420134,15.63
null,2022,2023,88476,880109,471103007218,477181102377,1.29
null,2022,2024,96487,990202,499176097204,499024560029,-0.03
null,2023,2024,101090,11750111,573647919730,567261266106,-1.11
